Timestamp,Open,High,Low,Close,Volume,WAP,Count,YesterdayClose,Bid,Ask,BidSize,AskSize,PutVol,CallVol,ShortableShares,NewsCount300s,SentimentMean300s,SentimentMin300s,SentimentMax300s,MinutesSinceNews,AsOfTs,BarEpochSec,SessionBucket,MinuteOfDay,SecondsFromOpen,SpreadBps,L1Imbalance,NewsCount60s,NewsUniqueProviders300s,SentimentStd300s,SentimentLatest,SentimentModel,SentimentConfidenceMean300s,SentimentConfidenceLatest,NewsAsOfLagSec,NewsCoverage300s,FeatureCompleteness,DataQualityFlags,BidLast,AskLast,BidSizeLast,AskSizeLast,PutVolDelta5s,CallVolDelta5s,ShortableDelta5s,ShortableMin5s,ShortableMax5s,QuoteUpdateCount5s,QuoteCoverage5s,QuoteAgeMs,SpreadMinBps5s,SpreadMaxBps5s,ImbalanceStd5s,AtBidVol,AtAskVol,TradePrintCount5s,Mkt_TSLA_Close5s,Mkt_TSLA_Ret5s,Mkt_TSLA_Ret30s,Mkt_TSLA_SpreadBps,Mkt_TSLA_L1Imbalance,Mkt_TSLA_NewsCount300s,Mkt_TSLA_SentimentMean300s,Mkt_TSLA_AsOfLagSec,Mkt_QQQ_Close5s,Mkt_QQQ_Ret5s,Mkt_QQQ_Ret30s,Mkt_QQQ_SpreadBps,Mkt_QQQ_L1Imbalance,Mkt_QQQ_NewsCount300s,Mkt_QQQ_SentimentMean300s,Mkt_QQQ_AsOfLagSec,Mkt_NVDA_Close5s,Mkt_NVDA_Ret5s,Mkt_NVDA_Ret30s,Mkt_NVDA_SpreadBps,Mkt_NVDA_L1Imbalance,Mkt_NVDA_NewsCount300s,Mkt_NVDA_SentimentMean300s,Mkt_NVDA_AsOfLagSec,Mkt_AMD_Close5s,Mkt_AMD_Ret5s,Mkt_AMD_Ret30s,Mkt_AMD_SpreadBps,Mkt_AMD_L1Imbalance,Mkt_AMD_NewsCount300s,Mkt_AMD_SentimentMean300s,Mkt_AMD_AsOfLagSec,MktReadyCount,MktBreadthUp5s,MktMeanRet5s,MktDispersion5s
20260312 09:20:00 America/New_York,407.0000,407.0000,406.9800,407.0000,15.000000000000000000,406.996141479099719618,9,407.8200,406.8249,407.0176,1,2,0,0,47857923,0,0.0000,0.0000,0.0000,18688.0000,20260312 09:20:00 America/New_York,1773321600,PRE,560,0,4.7356,-0.2285,0,0,0.0000,0.0000,finbert,0.0000,0.0000,999999.00,0.0000,0.8000,news|partial_market_context,406.8000,407.0000,1,2,0,0,2,47857921,47857923,17,1.0000,0.0,3.1936,8.1088,0.0867,1.0000,2.0000,2,407.0000,0.000000,0.000000,4.7356,-0.2285,0,0.0000,0.00,0,0,0,0,0,0,0,999999,0,0,0,0,0,0,0,999999,0,0,0,0,0,0,0,999999,1,0,0.000000,0.000000
20260312 09:20:05 America/New_York,407.0000,407.0000,407.0000,407.0000,0.000000000000000000,407.000000000000000000,0,407.8200,406.8000,407.0000,1,2,0,0,47857923,0,0.0000,0.0000,0.0000,18688.0833,20260312 09:20:05 America/New_York,1773321605,PRE,560,0,4.9152,-0.2500,0,0,0.0000,0.0000,finbert,0.0000,0.0000,999999.00,0.0000,0.8000,news|partial_market_context,406.8000,407.0000,1,2,0,0,0,47857923,47857923,0,1.0000,0.0,4.9152,4.9152,0.0000,0.0000,0.0000,0,407.0000,0.000000,0.000000,4.9152,-0.2500,0,0.0000,0.00,0,0,0,0,0,0,0,999999,0,0,0,0,0,0,0,999999,0,0,0,0,0,0,0,999999,1,0,0.000000,0.000000
20260312 09:20:10 America/New_York,407.0000,407.0000,407.0000,407.0000,0.000000000000000000,407.000000000000000000,0,407.8200,406.8000,407.0000,1,2,0,0,47857923,0,0.0000,0.0000,0.0000,18688.1667,20260312 09:20:10 America/New_York,1773321610,PRE,560,0,4.9152,-0.2500,0,0,0.0000,0.0000,finbert,0.0000,0.0000,999999.00,0.0000,0.8000,news|partial_market_context,406.8000,407.0000,1,2,0,0,0,47857923,47857923,0,1.0000,0.0,4.9152,4.9152,0.0000,0.0000,0.0000,0,407.0000,0.000000,0.000000,4.9152,-0.2500,0,0.0000,0.00,0,0,0,0,0,0,0,999999,0,0,0,0,0,0,0,999999,0,0,0,0,0,0,0,999999,1,0,0.000000,0.000000
20260312 09:20:15 America/New_York,407.0000,407.0000,407.0000,407.0000,0.000000000000000000,407.000000000000000000,0,407.8200,406.8000,407.0000,1,2,0,0,47857923,0,0.0000,0.0000,0.0000,18688.2500,20260312 09:20:15 America/New_York,1773321615,PRE,560,0,4.9152,-0.2500,0,0,0.0000,0.0000,finbert,0.0000,0.0000,999999.00,0.0000,0.8000,news|partial_market_context,406.8000,407.0000,1,2,0,0,0,47857923,47857923,0,1.0000,0.0,4.9152,4.9152,0.0000,0.0000,0.0000,0,407.0000,0.000000,0.000000,4.9152,-0.2500,0,0.0000,0.00,0,0,0,0,0,0,0,999999,0,0,0,0,0,0,0,999999,0,0,0,0,0,0,0,999999,1,0,0.000000,0.000000
20260312 09:20:20 America/New_York,407.0200,407.0700,407.0200,407.0700,5.000000000000000000,407.043333333333293922,2,407.8200,406.8412,407.0995,1,2,0,0,47857863,0,0.0000,0.0000,0.0000,18688.3333,20260312 09:20:20 America/New_York,1773321620,PRE,560,0,6.3465,-0.1190,0,0,0.0000,0.0000,finbert,0.0000,0.0000,999999.00,0.0000,0.8000,news|partial_market_context,407.0000,407.3800,2,1,0,0,-60,47857863,47857923,7,1.0000,0.0,4.9152,13.5100,0.2198,2.0000,1.0000,2,407.0700,0.000172,0.000000,6.3465,-0.1190,0,0.0000,0.00,0,0,0,0,0,0,0,999999,0,0,0,0,0,0,0,999999,0,0,0,0,0,0,0,999999,1,1,0.000172,0.000000
20260312 09:20:25 America/New_York,407.3000,407.3000,407.0600,407.0700,2.000000000000000000,407.171444444444375677,2,407.8200,407.0000,407.3800,2,1,0,0,47857863,0,0.0000,0.0000,0.0000,18688.4167,20260312 09:20:25 America/New_York,1773321625,PRE,560,0,9.3323,0.2500,0,0,0.0000,0.0000,finbert,0.0000,0.0000,999999.00,0.0000,0.8000,news|partial_market_context,407.0000,407.3800,2,1,0,0,0,47857863,47857863,0,1.0000,0.0,9.3323,9.3323,0.0000,0.0000,0.0000,0,407.0700,0.000000,0.000000,9.3323,0.2500,0,0.0000,0.00,603.0900,0.000000,0.000000,1.1606,0.6667,0,0.0000,0.00,0,0,0,0,0,0,0,999999,0,0,0,0,0,0,0,999999,2,0,0.000000,0.000000
20260312 09:20:30 America/New_York,407.0000,407.0000,407.0000,407.0000,1.000000000000000000,407.000000000000000000,1,407.8200,407.0000,407.3800,2,1,0,0,47857863,0,0.0000,0.0000,0.0000,18688.5000,20260312 09:20:30 America/New_York,1773321630,PRE,560,0,9.3323,0.2500,0,0,0.0000,0.0000,finbert,0.0000,0.0000,999999.00,0.0000,0.8000,news|partial_market_context,407.0000,407.3800,2,1,0,0,0,47857863,47857863,0,1.0000,4507.2,9.3323,9.3323,0.0000,0.0000,0.0000,0,407.0000,-0.000172,0.000000,9.3323,0.2500,0,0.0000,0.00,603.0900,0.000000,0.000000,1.1606,0.6667,0,0.0000,5.00,0,0,0,0,0,0,0,999999,0,0,0,0,0,0,0,999999,2,0,-0.000086,0.000122
20260312 09:20:35 America/New_York,407.1000,407.1000,407.0000,407.0000,15.000000000000000000,407.068352365415989880,3,407.8200,407.0000,407.3800,2,1,0,0,47857863,0,0.0000,0.0000,0.0000,18688.5833,20260312 09:20:35 America/New_York,1773321635,PRE,560,0,9.3323,0.2500,0,0,0.0000,0.0000,finbert,0.0000,0.0000,999999.00,0.0000,0.8000,news|partial_market_context,407.0000,407.3800,2,1,0,0,0,47857863,47857863,0,1.0000,9507.2,9.3323,9.3323,0.0000,0.0000,0.0000,0,407.0000,0.000000,0.000000,9.3323,0.2500,0,0.0000,0.00,602.8800,-0.000348,0.000000,1.1606,0.6667,0,0.0000,5.00,0,0,0,0,0,0,0,999999,0,0,0,0,0,0,0,999999,2,0,-0.000174,0.000246
20260312 09:20:40 America/New_York,406.9900,406.9900,406.9900,406.9900,12.000000000000000000,406.990000000000009095,1,407.8200,406.9841,407.3444,2,1,0,0,47857600,0,0.0000,0.0000,0.0000,18688.6667,20260312 09:20:40 America/New_York,1773321640,PRE,560,0,8.8488,0.1890,0,0,0.0000,0.0000,finbert,0.0000,0.0000,999999.00,0.0000,0.8000,news|partial_market_context,406.8300,407.0000,1,3,0,0,-263,47857600,47857863,2,1.0000,0.0,4.1778,9.3323,0.1895,0.0000,0.0000,0,406.9900,-0.000025,-0.000025,8.8488,0.1890,0,0.0000,0.00,602.7700,-0.000050,0.000000,1.1742,0.5876,0,0.0000,0.00,0,0,0,0,0,0,0,999999,0,0,0,0,0,0,0,999999,2,0,-0.000037,0.000018
20260312 09:20:45 America/New_York,406.8300,406.9700,406.8300,406.9700,3.000000000000000000,406.921733333333293103,2,407.8200,406.8276,407.0000,2,3,0,0,47857600,0,0.0000,0.0000,0.0000,18688.7500,20260312 09:20:45 America/New_York,1773321645,PRE,560,0,4.2359,-0.2758,0,0,0.0000,0.0000,finbert,0.0000,0.0000,999999.00,0.0000,0.8000,news|partial_market_context,406.8200,407.0000,4,3,0,0,0,47857600,47857600,5,1.0000,0.0,4.1778,4.4236,0.2231,4.0000,2.0000,2,406.9700,-0.000049,-0.000074,4.2359,-0.2758,0,0.0000,0.00,602.7900,0.000033,0.000000,1.0230,0.1103,0,0.0000,0.00,184.3000,0.000000,0.000000,1.0852,-0.4550,0,0.0000,0.00,0,0,0,0,0,0,0,999999,3,1,-0.000005,0.000041
