time,provider,provider_name,article_id,headline,sentiment_score,sentiment_confidence,sentiment_label,sentiment_model,published_ts,received_ts,tradable_ts,is_historical_seed,source_raw,source_site,dup_cluster_id,dup_seq_asof,dup_provider_count_asof,dup_first_seen_ts,dup_is_repeat
20260312 08:02:00 America/New_York,DJ-RTE,Dow Jones Top Stories Europe,DJ-RTE$1dd10c07,{A:800015:L:en:K:0.98:C:0.9833276867866516}Elon Musk's Tesla Obtains License to Supply Electricity in Britain,0.0000,0.8185,neutral,finbert,20260312 08:02:00 America/New_York,20260312 09:20:05 America/New_York,20260312 09:20:05 America/New_York,1,,,d6103b9dc4bbc165,1,1,20260312 08:02:00 America/New_York,0
20260312 07:47:00 America/New_York,DJ-N,Dow Jones Global Equity Trader,DJ-N$1dd103b7,"{A:800015,800015:L:en,en:K:0.98:C:0.9833276867866516}Elon Musk's Tesla Obtains License to Supply Electricity in Britain",0.0000,0.8660,neutral,finbert,20260312 07:47:00 America/New_York,20260312 09:20:05 America/New_York,20260312 09:20:05 America/New_York,1,,,8d7820760499b2d2,1,1,20260312 07:47:00 America/New_York,0
20260312 07:16:00 America/New_York,DJ-N,Dow Jones Global Equity Trader,DJ-N$1dd0f6d1,{A:800015:L:en:K:0.47:C:0.4701598286628723}How Tesla's Macrohard Is Like Amazon Web Services -- Barrons.com,0.0000,0.9365,neutral,finbert,20260312 07:16:00 America/New_York,20260312 09:20:06 America/New_York,20260312 09:20:06 America/New_York,1,,,7593629d0d8982e3,1,1,20260312 07:16:00 America/New_York,0
20260312 05:30:00 America/New_York,DJ-N,Dow Jones Global Equity Trader,DJ-N$1dd0c084,{A:800015:L:en:K:n/a:C:0.5883095860481262}Tesla's Grand Plan for the Future Is a Car With No Steering Wheel -- WSJ,0.0000,0.9396,neutral,finbert,20260312 05:30:00 America/New_York,20260312 09:20:06 America/New_York,20260312 09:20:06 America/New_York,1,,,db36aee45afbe84a,1,1,20260312 05:30:00 America/New_York,0
20260312 04:55:00 America/New_York,DJ-N,Dow Jones Global Equity Trader,DJ-N$1dd0b255,"{A:800008,800008,800015:L:Chinese (Simplified and Traditional),Chinese (Simplified and Traditional),en:K:-0.97:C:0.97}China Auto Sales Slowed Further in February",-0.9637,0.9637,negative,finbert,20260312 04:55:00 America/New_York,20260312 09:20:06 America/New_York,20260312 09:20:06 America/New_York,1,,,c4a7f4994c34acf4,1,1,20260312 04:55:00 America/New_York,0
20260312 04:13:00 America/New_York,DJ-N,Dow Jones Global Equity Trader,DJ-N$1dd0a065,"{A:800008,800015:L:Chinese (Simplified and Traditional),en:K:n/a:C:0.7973036170005798}* Tesla Sold 58,599 Units in February, CPCA Says",0.0000,0.9291,neutral,finbert,20260312 04:13:00 America/New_York,20260312 09:20:07 America/New_York,20260312 09:20:07 America/New_York,1,,,cfa32bfb0978f332,1,1,20260312 04:13:00 America/New_York,0
20260312 04:13:00 America/New_York,DJ-N,Dow Jones Global Equity Trader,DJ-N$1dd0a041,"{A:800008,800015:L:Chinese (Simplified and Traditional),en:K:n/a:C:0.7605883479118347}* BYD Sold 187,782 Units in February, CPCA Says",0.0000,0.9240,neutral,finbert,20260312 04:13:00 America/New_York,20260312 09:20:07 America/New_York,20260312 09:20:07 America/New_York,1,,,a5fdbb565d9e7cad,1,1,20260312 04:13:00 America/New_York,0
20260312 04:12:00 America/New_York,DJ-N,Dow Jones Global Equity Trader,DJ-N$1dd0a034,"{A:800008,800015:L:Chinese (Simplified and Traditional),en:K:n/a:C:0.8236537575721741}* Tesla Exported 20,393 Units in March, CPCA Says",0.0000,0.8890,neutral,finbert,20260312 04:12:00 America/New_York,20260312 09:20:07 America/New_York,20260312 09:20:07 America/New_York,1,,,b9c9913aba9d7467,1,1,20260312 04:12:00 America/New_York,0
20260312 04:12:00 America/New_York,DJ-N,Dow Jones Global Equity Trader,DJ-N$1dd0a022,"{A:800008,800015:L:Chinese (Simplified and Traditional),en:K:n/a:C:0.9103420376777649}* BYD Exported 98,706 Units in February, CPCA Says",0.0000,0.9226,neutral,finbert,20260312 04:12:00 America/New_York,20260312 09:20:08 America/New_York,20260312 09:20:08 America/New_York,1,,,0d67cb6dd44d7828,1,1,20260312 04:12:00 America/New_York,0
20260312 04:12:00 America/New_York,DJ-N,Dow Jones Global Equity Trader,DJ-N$1dd0a005,"{A:800008,800015:L:Chinese (Simplified and Traditional),en:K:0.97:C:0.9660903811454773}* China February New-Energy-Vehicle Exports More Than Doubled on Year, CPCA Says",0.9350,0.9350,positive,finbert,20260312 04:12:00 America/New_York,20260312 09:20:08 America/New_York,20260312 09:20:08 America/New_York,1,,,edfddc8c07b05b28,1,1,20260312 04:12:00 America/New_York,0
