Timestamp,Open,High,Low,Close,Volume,WAP,Count,YesterdayClose,DataQualityFlags
20260102 09:30:00 America/New_York,457.1,458.0,456.0,457.92,16793.0,457.3904000476389,2804,457.8,none
20260102 09:30:30 America/New_York,458.08,458.34,456.82,457.81,6115.0,457.70164971381854,2029,457.8,none
20260102 09:31:00 America/New_York,456.37,458.33,456.01,456.65,7184.0,457.32864587973273,2302,457.8,none
20260102 09:31:30 America/New_York,456.34,457.58,455.6,455.79,4738.0,456.41121992401867,1503,457.8,none
20260102 09:32:00 America/New_York,456.59,457.7,455.61,456.19,4825.0,456.73411792746106,1679,457.8,none
20260102 09:32:30 America/New_York,455.41,456.3,455.1,455.31,3608.0,455.64570593126393,1227,457.8,none
20260102 09:33:00 America/New_York,454.32,455.74,454.01,454.1,5898.0,454.78711732790777,1757,457.8,none
20260102 09:33:30 America/New_York,454.06,454.43,453.36,454.18,6647.0,453.92952204001807,1899,457.8,none
20260102 09:34:00 America/New_York,454.17,454.91,453.32,454.74,4067.0,454.0566156872387,1195,457.8,none
20260102 09:34:30 America/New_York,453.91,455.2,453.54,453.9,4017.0,454.5457072442121,1157,457.8,none
20260102 09:35:00 America/New_York,452.39,454.1,452.31,452.5,5301.0,453.02427938124885,1680,457.8,none
20260102 09:35:30 America/New_York,453.38,453.66,452.32,452.83,3437.0,452.9928012801862,1143,457.8,none
20260102 09:36:00 America/New_York,453.01,453.28,452.62,453.24,2584.0,452.8842105263157,905,457.8,none
20260102 09:36:30 America/New_York,453.53,453.69,452.36,453.53,3629.0,453.04393799944893,1156,457.8,none
20260102 09:37:00 America/New_York,452.44,453.71,452.21,452.54,3977.0,452.99526049786266,1174,457.8,none
20260102 09:37:30 America/New_York,452.56,452.92,452.01,452.75,3434.0,452.26945864880605,1112,457.8,none
20260102 09:38:00 America/New_York,452.38,453.0,452.1,452.49,3652.0,452.5337245345016,1204,457.8,none
20260102 09:38:30 America/New_York,452.18,452.55,451.92,452.31,3581.0,452.1445640882435,1071,457.8,none
20260102 09:39:00 America/New_York,451.9,452.34,451.51,451.6,3488.0,451.8799142775229,1101,457.8,none
20260102 09:39:30 America/New_York,452.05,452.1,451.39,451.87,3044.0,451.7634310118266,911,457.8,none
20260102 09:40:00 America/New_York,452.02,452.46,451.67,451.74,3048.0,452.1178179133858,933,457.8,none
20260102 09:40:30 America/New_York,451.35,451.88,451.21,451.53,3086.0,451.4812854828257,1005,457.8,none
20260102 09:41:00 America/New_York,451.78,452.08,451.28,451.77,2551.0,451.7540333202666,793,457.8,none
20260102 09:41:30 America/New_York,451.59,451.85,450.99,451.67,4258.0,451.3861733208079,1339,457.8,none
20260102 09:42:00 America/New_York,451.13,451.88,451.02,451.09,2269.0,451.4107434993389,739,457.8,none
20260102 09:42:30 America/New_York,451.35,451.47,450.79,451.35,2486.0,451.11206436041834,825,457.8,none
20260102 09:43:00 America/New_York,451.33,451.63,451.05,451.55,2024.0,451.3842924901186,655,457.8,none
20260102 09:43:30 America/New_York,451.33,451.89,451.27,451.33,2393.0,451.6143643961554,709,457.8,none
20260102 09:44:00 America/New_York,451.06,451.64,450.72,451.13,2825.0,451.2275430088495,881,457.8,none
20260102 09:44:30 America/New_York,450.63,451.2,450.41,450.49,3269.0,450.6756301621291,1034,457.8,none
20260102 09:45:00 America/New_York,450.31,450.94,449.8,450.42,4167.0,450.3301855051596,1426,457.8,none
20260102 09:45:30 America/New_York,449.97,450.46,449.74,449.99,3871.0,450.01173598553345,1159,457.8,none
20260102 09:46:00 America/New_York,449.85,450.26,449.5,449.94,4906.0,449.7901644924582,1506,457.8,none
20260102 09:46:30 America/New_York,449.97,450.42,449.96,450.11,4319.0,450.2222176429729,1366,457.8,none
20260102 09:47:00 America/New_York,451.49,451.77,449.95,451.67,6829.0,450.9509343974228,2101,457.8,none
20260102 09:47:30 America/New_York,452.14,452.18,451.17,452.04,6059.0,451.7616108268691,1613,457.8,none
20260102 09:48:00 America/New_York,451.76,452.68,451.68,452.0,5628.0,452.20051990049745,1691,457.8,none
20260102 09:48:30 America/New_York,452.35,452.5,451.66,452.4,3253.0,452.1462394712573,820,457.8,none
20260102 09:49:00 America/New_York,451.92,452.64,451.82,452.16,3477.0,452.2415559390279,958,457.8,none
20260102 09:49:30 America/New_York,452.28,452.5,451.92,452.47,2540.0,452.2405992125984,841,457.8,none
20260102 09:50:00 America/New_York,453.11,453.19,452.48,453.0,6072.0,452.8883613306983,1560,457.8,none
