Timestamp,Open,High,Low,Close,Volume,WAP,Count,YesterdayClose,Bid,Ask,BidSize,AskSize,PutVol,CallVol,ShortableShares
20260306 09:19:20 America/New_York,398.4600,398.4600,398.3800,398.3800,8.000000000000000000,398.401123595505623598,4,405.5500,398.3500,398.5000,1,3,0,0,53624704
20260306 09:19:25 America/New_York,398.3500,398.4200,398.3500,398.3800,8.000000000000000000,398.381746478873196793,7,405.5500,398.3500,398.4200,1,1,0,0,53624704
20260306 09:19:30 America/New_York,398.3200,398.3500,398.3200,398.3500,4.000000000000000000,398.330285714285707854,3,405.5500,398.3000,398.3500,3,3,0,0,53624704
20260306 09:19:35 America/New_York,398.3200,398.3500,398.3000,398.3500,12.000000000000000000,398.334989898989874746,5,405.5500,398.3000,398.4000,3,1,0,0,53624714
20260306 09:19:40 America/New_York,398.3000,398.3100,398.3000,398.3000,16.000000000000000000,398.302168674698805262,7,405.5500,398.2900,398.3000,2,3,0,0,53624714
20260306 09:19:45 America/New_York,398.3000,398.3700,398.2900,398.3700,12.000000000000000000,398.312902584492974256,9,405.5500,398.2300,398.4200,3,1,0,0,53624714
20260306 09:19:50 America/New_York,398.2700,398.2700,398.2700,398.2700,12.000000000000000000,398.269999999999981810,1,405.5500,398.3100,398.3800,1,2,0,0,53625184
20260306 09:19:55 America/New_York,398.3100,398.3100,398.3100,398.3100,6.000000000000000000,398.310000000000002274,2,405.5500,398.3300,398.3800,1,1,0,0,53625134
20260306 09:20:00 America/New_York,398.3700,398.3700,398.3700,398.3700,2.000000000000000000,398.370000000000004547,1,405.5500,398.3600,398.3800,1,1,0,0,53625134
20260306 09:20:05 America/New_York,398.3700,398.4200,398.3500,398.3500,8.000000000000000000,398.377701863353991030,6,405.5500,398.3100,398.5000,3,5,0,0,53625134
20260306 09:20:10 America/New_York,398.3300,398.3500,398.3000,398.3000,14.000000000000000000,398.328962585033991672,8,405.5500,398.2200,398.4100,3,1,0,0,53625134
20260306 09:20:15 America/New_York,398.2800,398.2800,398.2700,398.2700,2.000000000000000000,398.276116504854371669,2,405.5500,398.2400,398.4100,1,1,0,0,53625134
20260306 09:20:20 America/New_York,398.3000,398.3000,398.2800,398.2900,6.000000000000000000,398.292404580152719973,5,405.5500,398.2400,398.3300,1,4,0,0,53625126
20260306 09:20:25 America/New_York,398.3100,398.3100,398.3100,398.3100,2.000000000000000000,398.310000000000002274,2,405.5500,398.2400,398.3300,1,4,0,0,53625126
20260306 09:20:30 America/New_York,398.3000,398.3700,398.3000,398.3600,7.000000000000000000,398.331135646687698681,5,405.5500,398.2400,398.3700,1,2,0,0,53625126
20260306 09:20:35 America/New_York,398.3700,398.5000,398.3400,398.4200,163.000000000000000000,398.415759386973206801,24,405.5500,398.3100,398.6100,1,2,0,0,53625126
20260306 09:20:40 America/New_York,398.5700,398.5700,398.5700,398.5700,8.000000000000000000,398.569999999999993179,6,405.5500,398.5000,398.6100,1,5,0,0,53625126
20260306 09:20:45 America/New_York,398.5100,398.5100,398.5100,398.5100,1.000000000000000000,398.509999999999990905,1,405.5500,398.5000,398.6100,1,5,0,0,53625126
20260306 09:20:50 America/New_York,398.5700,398.5700,398.5700,398.5700,2.000000000000000000,398.569999999999993179,1,405.5500,398.5000,398.6100,1,5,0,0,53625126
20260306 09:20:55 America/New_York,398.5700,398.6100,398.5700,398.6100,4.000000000000000000,398.589634146341495580,3,405.5500,398.5000,398.6100,13,5,0,0,53625136
20260306 09:21:00 America/New_York,398.5700,398.6100,398.5700,398.6100,7.000000000000000000,398.592614840989426739,2,405.5500,398.5000,398.6100,15,5,0,0,53624924
20260306 09:21:05 America/New_York,398.5000,398.6100,398.5000,398.5100,5.000000000000000000,398.532159624413111487,4,405.5500,398.5000,398.6100,16,3,0,0,53624924
20260306 09:21:10 America/New_York,398.6000,398.6000,398.5600,398.5600,5.000000000000000000,398.575796460177002700,2,405.5500,398.5000,398.6100,16,5,0,0,53624924
20260306 09:21:15 America/New_York,398.5000,398.5100,398.5000,398.5100,23.000000000000000000,398.501764069264083901,11,405.5500,398.3500,398.5000,2,3,0,0,53624924
20260306 09:21:20 America/New_York,398.5000,398.6100,398.4900,398.6100,6.000000000000000000,398.533070866141713395,3,405.5500,398.3500,398.5700,2,2,0,0,53624902
20260306 09:21:25 America/New_York,398.3500,398.6100,398.3500,398.6100,32.000000000000000000,398.492492187499976808,10,405.5500,398.3500,398.6800,3,11,0,0,53624902
20260306 09:21:30 America/New_York,398.7000,398.7000,398.6800,398.7000,20.000000000000000000,398.688564417177872201,4,405.5500,398.3500,398.9000,8,10,0,0,53624902
20260306 09:21:35 America/New_York,398.7000,398.7000,398.7000,398.7000,0.000000000000000000,398.699999999999988631,0,405.5500,398.6800,398.9000,2,10,0,0,53624802
20260306 09:21:40 America/New_York,398.7100,398.8300,398.7100,398.8200,4.000000000000000000,398.778282208589018865,2,405.5500,398.3600,398.9000,1,10,0,0,53624937
20260306 09:21:45 America/New_York,398.7700,398.7700,398.7700,398.7700,1.000000000000000000,398.769999999999981810,1,405.5500,398.5000,398.9000,13,10,0,0,53624937
20260306 09:21:50 America/New_York,398.8900,398.8900,398.7100,398.7100,35.000000000000000000,398.772076655052273964,14,405.5500,398.7000,398.9000,13,10,0,0,53624937
20260306 09:21:55 America/New_York,398.8200,398.8300,398.7000,398.7200,4.000000000000000000,398.731538461538491447,3,405.5500,398.7000,398.9000,13,9,0,0,53625006
20260306 09:22:00 America/New_York,398.8200,398.8800,398.8200,398.8700,2.000000000000000000,398.843893805309676281,2,405.5500,398.7000,398.9000,14,9,0,0,53625006
20260306 09:22:05 America/New_York,398.8700,398.8700,398.8700,398.8700,0.000000000000000000,398.870000000000004547,0,405.5500,398.7600,398.9000,3,9,0,0,53625006
20260306 09:22:10 America/New_York,398.9000,398.9000,398.7600,398.7600,8.000000000000000000,398.812229102167179917,5,405.5500,398.7000,398.9000,13,9,0,0,53625006
20260306 09:22:15 America/New_York,398.8500,398.8500,398.8500,398.8500,1.000000000000000000,398.850000000000022737,1,405.5500,398.7000,398.8300,13,1,0,0,53625006
20260306 09:22:20 America/New_York,398.9000,398.9400,398.9000,398.9400,12.000000000000000000,398.913468208092524492,6,405.5500,398.8000,399.0000,7,38,0,0,53625006
20260306 09:22:25 America/New_York,398.8800,398.8800,398.8500,398.8500,8.000000000000000000,398.874384384384427449,3,405.5500,398.8500,398.8900,2,3,0,0,53625031
20260306 09:22:30 America/New_York,398.8900,398.8900,398.8700,398.8700,55.000000000000000000,398.870893655049201243,3,405.5500,398.9000,399.0000,3,37,0,0,53625026
20260306 09:22:35 America/New_York,398.9800,398.9900,398.9000,398.9000,14.000000000000000000,398.972859680284216211,4,405.5500,398.9200,399.1000,4,2,0,0,53625026
20260306 09:22:40 America/New_York,399.0000,399.0500,399.0000,399.0100,38.000000000000000000,399.004793171372284633,14,405.5500,399.0000,399.2500,17,4,0,0,53625026
20260306 09:22:45 America/New_York,399.1000,399.1400,399.1000,399.1400,3.000000000000000000,399.113150684931497381,2,405.5500,399.0500,399.2500,1,4,0,0,53625026
20260306 09:22:50 America/New_York,399.0600,399.0600,399.0500,399.0500,11.000000000000000000,399.056455981941326172,7,405.5500,399.0100,399.2500,3,4,0,0,53625026
20260306 09:22:55 America/New_York,399.2500,399.2500,399.2000,399.2000,2.000000000000000000,399.227777777777816937,2,405.5500,399.0900,399.2500,2,4,0,0,53624926
