side,threshold,predicted_positive,pred_pos_rate,precision,recall,f1
long,0.05,339,0.3951048951048951,0.18584070796460178,0.84,0.30434782608695654
long,0.1,268,0.3123543123543124,0.21641791044776118,0.7733333333333333,0.33819241982507287
long,0.15,235,0.2738927738927739,0.22127659574468084,0.6933333333333334,0.3354838709677419
long,0.2,205,0.23892773892773891,0.2146341463414634,0.5866666666666667,0.3142857142857143
long,0.25,178,0.20745920745920746,0.24157303370786518,0.5733333333333334,0.3399209486166008
long,0.3,156,0.18181818181818182,0.26282051282051283,0.5466666666666666,0.35497835497835495
long,0.35,140,0.16317016317016317,0.29285714285714287,0.5466666666666666,0.38139534883720927
long,0.4,122,0.14219114219114218,0.28688524590163933,0.4666666666666667,0.35532994923857864
long,0.45,111,0.12937062937062938,0.3153153153153153,0.4666666666666667,0.37634408602150543
long,0.5,99,0.11538461538461539,0.32323232323232326,0.4266666666666667,0.367816091954023
long,0.55,83,0.09673659673659674,0.3493975903614458,0.38666666666666666,0.3670886075949367
long,0.6,65,0.07575757575757576,0.36923076923076925,0.32,0.34285714285714286
long,0.65,43,0.05011655011655012,0.37209302325581395,0.21333333333333335,0.2711864406779661
long,0.7,32,0.037296037296037296,0.34375,0.14666666666666667,0.205607476635514
long,0.75,19,0.022144522144522144,0.42105263157894735,0.10666666666666667,0.17021276595744683
long,0.8,10,0.011655011655011656,0.3,0.04,0.07058823529411766
long,0.85,5,0.005827505827505828,0.2,0.013333333333333334,0.025
long,0.9,2,0.002331002331002331,0.0,0.0,0.0
long,0.95,0,0.0,0.0,0.0,0.0
short,0.05,115,0.23760330578512398,0.22608695652173913,0.7647058823529411,0.348993288590604
short,0.1,83,0.17148760330578514,0.25301204819277107,0.6176470588235294,0.3589743589743589
short,0.15,74,0.15289256198347106,0.2702702702702703,0.5882352941176471,0.37037037037037035
short,0.2,64,0.1322314049586777,0.28125,0.5294117647058824,0.3673469387755102
short,0.25,60,0.12396694214876033,0.3,0.5294117647058824,0.3829787234042553
short,0.3,51,0.10537190082644628,0.3137254901960784,0.47058823529411764,0.3764705882352941
short,0.35,48,0.09917355371900827,0.3333333333333333,0.47058823529411764,0.39024390243902435
short,0.4,43,0.08884297520661157,0.32558139534883723,0.4117647058823529,0.36363636363636365
short,0.45,41,0.08471074380165289,0.34146341463414637,0.4117647058823529,0.37333333333333335
short,0.5,37,0.07644628099173553,0.35135135135135137,0.38235294117647056,0.3661971830985916
short,0.55,31,0.0640495867768595,0.3548387096774194,0.3235294117647059,0.3384615384615384
short,0.6,28,0.05785123966942149,0.39285714285714285,0.3235294117647059,0.3548387096774193
short,0.65,19,0.03925619834710744,0.3684210526315789,0.20588235294117646,0.2641509433962264
short,0.7,14,0.028925619834710745,0.35714285714285715,0.14705882352941177,0.20833333333333334
short,0.75,7,0.014462809917355372,0.42857142857142855,0.08823529411764706,0.14634146341463417
short,0.8,4,0.008264462809917356,0.5,0.058823529411764705,0.10526315789473684
short,0.85,2,0.004132231404958678,0.5,0.029411764705882353,0.05555555555555555
short,0.9,1,0.002066115702479339,0.0,0.0,0.0
short,0.95,0,0.0,0.0,0.0,0.0
