# OPRA option symbols derived from symbols_100 underlyings (one contract per underlying)
# Format: <ROOT><2 spaces><YYMMDD><C/P><8-digit strike>
# Example: AAPL  260417C00150000
# NOTE: Replace strike/expiry with contracts you actually want to backfill.

TSLA  260417C00250000
NVDA  260417C00120000
AAPL  260417C00150000
MSFT  260417C00400000
AMZN  260417C00200000
META  260417C00500000
GOOGL  260417C00180000
AMD  260417C00150000
NFLX  260417C01000000
AVGO  260417C01000000
PLTR  260417C00050000
SMCI  260417C00500000
SNOW  260417C00200000
CRWD  260417C00350000
PANW  260417C00300000
MDB  260417C00300000
NET  260417C00100000
DDOG  260417C00150000
ZS  260417C00150000
SHOP  260417C00100000
TTD  260417C00100000
ROKU  260417C00100000
SPOT  260417C00400000
SQ  260417C00100000
PYPL  260417C00100000
MU  260417C00100000
INTC  260417C00050000
TSM  260417C00200000
ARM  260417C00150000
QCOM  260417C00200000
AMAT  260417C00200000
LRCX  260417C01000000
ASML  260417C01000000
TXN  260417C00200000
MRVL  260417C00100000
COIN  260417C00300000
MSTR  260417C02000000
MARA  260417C00050000
RIOT  260417C00050000
CLSK  260417C00050000
HOOD  260417C00050000
CVNA  260417C00100000
UPST  260417C00050000
AFRM  260417C00050000
SOFI  260417C00020000
GME  260417C00050000
AMC  260417C00010000
RIVN  260417C00020000
LCID  260417C00010000
PLUG  260417C00010000
JPM  260417C00250000
BAC  260417C00050000
GS  260417C00500000
MS  260417C00150000
C  260417C00100000
WFC  260417C00080000
V  260417C00350000
MA  260417C00500000
SCHW  260417C00100000
BX  260417C00200000
LLY  260417C01000000
NVO  260417C00150000
ISRG  260417C00500000
VRTX  260417C00500000
REGN  260417C01000000
ABBV  260417C00200000
MRK  260417C00150000
PFE  260417C00050000
GILD  260417C00100000
BIIB  260417C00250000
XOM  260417C00100000
CVX  260417C00150000
OXY  260417C00070000
BA  260417C00200000
GE  260417C00200000
CAT  260417C00350000
WMT  260417C00100000
TGT  260417C00200000
COST  260417C01000000
HD  260417C00400000
DIS  260417C00150000
UBER  260417C00100000
ABNB  260417C00200000
MCD  260417C00300000
SBUX  260417C00100000
SPY  260417C00500000
QQQ  260417C00500000
IWM  260417C00250000
DIA  260417C00400000
VIXY  260417C00050000
TQQQ  260417C00100000
SQQQ  260417C00050000
SOXL  260417C00050000
SOXS  260417C00030000
ARKK  260417C00070000
XLF  260417C00050000
XLE  260417C00100000
XLV  260417C00150000
SMH  260417C00250000
KRE  260417C00070000

