model,side,fold_id,bin_index,prob_min,prob_max,rows,mean_predicted_probability,observed_positive_rate,abs_calibration_error
long_entry.onnx,long,1,0,0.0,0.1,1813,0.07427800969750126,0.11748483177054606,0.0432068220730448
long_entry.onnx,long,1,1,0.1,0.2,7539,0.15632110039109065,0.14696909404430294,0.009352006346787706
long_entry.onnx,long,1,2,0.2,0.30000000000000004,12344,0.25254122533085305,0.20406675307841868,0.04847447225243437
long_entry.onnx,long,1,3,0.30000000000000004,0.4,17759,0.35350286102307155,0.2538431217973985,0.09965973922567306
long_entry.onnx,long,1,4,0.4,0.5,27063,0.45446215091883524,0.3119018586261686,0.14256029229266665
long_entry.onnx,long,1,5,0.5,0.6000000000000001,35858,0.5492056184722428,0.33127893357130905,0.21792668490093375
long_entry.onnx,long,1,6,0.6000000000000001,0.7000000000000001,18551,0.6393893336200465,0.3467198533771764,0.29266948024287004
long_entry.onnx,long,1,7,0.7000000000000001,0.8,4193,0.7370006103449821,0.3756260434056761,0.361374566939306
long_entry.onnx,long,1,8,0.8,0.9,853,0.8340759370570628,0.3974208675263775,0.43665506953068534
long_entry.onnx,long,1,9,0.9,1.0,27,0.9164076757282343,0.3333333333333333,0.583074342394901
long_entry.onnx,long,2,0,0.0,0.1,730,0.07520603337307515,0.03424657534246575,0.040959458030609394
long_entry.onnx,long,2,1,0.1,0.2,2576,0.15775605758356995,0.14906832298136646,0.008687734602203484
long_entry.onnx,long,2,2,0.2,0.30000000000000004,5742,0.256458224226885,0.16788575409265064,0.08857247013423439
long_entry.onnx,long,2,3,0.30000000000000004,0.4,9860,0.3545687759089247,0.24442190669371197,0.11014686921521274
long_entry.onnx,long,2,4,0.4,0.5,26596,0.4607611186560326,0.31485937734997743,0.14590174130605515
long_entry.onnx,long,2,5,0.5,0.6000000000000001,58151,0.5488344975525105,0.3400457429794844,0.20878875457302604
long_entry.onnx,long,2,6,0.6000000000000001,0.7000000000000001,19616,0.6351201568191295,0.35761623164763456,0.2775039251714949
long_entry.onnx,long,2,7,0.7000000000000001,0.8,2620,0.730485528292747,0.3248091603053435,0.40567636798740353
long_entry.onnx,long,2,8,0.8,0.9,109,0.8200471613525404,0.23853211009174313,0.5815150512607973
long_entry.onnx,long,2,9,0.9,1.0,0,,,
long_entry.onnx,long,3,0,0.0,0.1,2460,0.05072799485917984,0.016260162601626018,0.034467832257553815
long_entry.onnx,long,3,1,0.1,0.2,6218,0.1562341220387028,0.07960759086522998,0.07662653117347282
long_entry.onnx,long,3,2,0.2,0.30000000000000004,8525,0.25078508686094164,0.15002932551319648,0.10075576134774517
long_entry.onnx,long,3,3,0.30000000000000004,0.4,10673,0.352431720479963,0.20425372435116648,0.14817799612879654
long_entry.onnx,long,3,4,0.4,0.5,27338,0.4627703946577306,0.28604872338868975,0.17672167126904087
long_entry.onnx,long,3,5,0.5,0.6000000000000001,60036,0.543737540920085,0.3256046372176694,0.21813290370241556
long_entry.onnx,long,3,6,0.6000000000000001,0.7000000000000001,10246,0.6285453788689687,0.36384930704665236,0.2646960718223163
long_entry.onnx,long,3,7,0.7000000000000001,0.8,493,0.7260222406293066,0.4259634888438134,0.30005875178549324
long_entry.onnx,long,3,8,0.8,0.9,11,0.8141757420610954,0.45454545454545453,0.3596302875156409
long_entry.onnx,long,3,9,0.9,1.0,0,,,
long_entry.onnx,long,4,0,0.0,0.1,297,0.0747640210697905,0.050505050505050504,0.024258970564740003
long_entry.onnx,long,4,1,0.1,0.2,1046,0.15108230817150742,0.07648183556405354,0.07460047260745388
long_entry.onnx,long,4,2,0.2,0.30000000000000004,1442,0.2576199094231714,0.16435506241331485,0.09326484700985657
long_entry.onnx,long,4,3,0.30000000000000004,0.4,3209,0.35913852520797873,0.20941103147397944,0.1497274937339993
long_entry.onnx,long,4,4,0.4,0.5,25009,0.4697020094703264,0.2719820864488784,0.19771992302144803
long_entry.onnx,long,4,5,0.5,0.6000000000000001,79295,0.5479716846128857,0.3257708556655527,0.222200828947333
long_entry.onnx,long,4,6,0.6000000000000001,0.7000000000000001,15386,0.6261824013313219,0.38060574548290654,0.24557665584841532
long_entry.onnx,long,4,7,0.7000000000000001,0.8,315,0.7174312436119639,0.35873015873015873,0.35870108488180513
long_entry.onnx,long,4,8,0.8,0.9,1,0.8054560714784423,1.0,0.19454392852155766
long_entry.onnx,long,4,9,0.9,1.0,0,,,
long_entry.onnx,long,5,0,0.0,0.1,293,0.07157974542362754,0.11262798634812286,0.04104824092449533
long_entry.onnx,long,5,1,0.1,0.2,2786,0.15838335509649895,0.13783201722900215,0.0205513378674968
long_entry.onnx,long,5,2,0.2,0.30000000000000004,7345,0.2566388954796431,0.192784206943499,0.0638546885361441
long_entry.onnx,long,5,3,0.30000000000000004,0.4,11787,0.35368204219763366,0.27750912021718843,0.07617292198044523
long_entry.onnx,long,5,4,0.4,0.5,32283,0.46155952488337587,0.3171328563020785,0.14442666858129738
long_entry.onnx,long,5,5,0.5,0.6000000000000001,57928,0.5472314403266432,0.36510841044054687,0.1821230298860963
long_entry.onnx,long,5,6,0.6000000000000001,0.7000000000000001,13218,0.628599476111467,0.4155696777122106,0.21302979839925645
long_entry.onnx,long,5,7,0.7000000000000001,0.8,360,0.7229936543166684,0.48333333333333334,0.23966032098333506
long_entry.onnx,long,5,8,0.8,0.9,0,,,
long_entry.onnx,long,5,9,0.9,1.0,0,,,
short_entry.onnx,short,1,0,0.0,0.1,1306,0.08123820320965847,0.07197549770290965,0.00926270550674882
short_entry.onnx,short,1,1,0.1,0.2,7068,0.1562644327059159,0.13879456706281834,0.01746986564309755
short_entry.onnx,short,1,2,0.2,0.30000000000000004,11880,0.25368768850976486,0.1882996632996633,0.06538802521010156
short_entry.onnx,short,1,3,0.30000000000000004,0.4,17788,0.35248680417518485,0.24724533393298853,0.10524147024219632
short_entry.onnx,short,1,4,0.4,0.5,26527,0.4539604564916602,0.29057187017001546,0.16338858632164477
short_entry.onnx,short,1,5,0.5,0.6000000000000001,36629,0.5503138629657002,0.33402495290616724,0.21628891005953294
short_entry.onnx,short,1,6,0.6000000000000001,0.7000000000000001,19912,0.6404879955330178,0.3463740458015267,0.29411394973149113
short_entry.onnx,short,1,7,0.7000000000000001,0.8,4340,0.7357723269586571,0.3368663594470046,0.3989059675116525
short_entry.onnx,short,1,8,0.8,0.9,536,0.8335781840973889,0.34888059701492535,0.4846975870824636
