model,side,fold_id,train_days,test_days,train_rows,test_rows,threshold,test_precision,test_recall,pred_pos_rate,brier_score,ece,calibration_rows
long_entry.onnx,long,1,35,35,125705,126000,0.64,0.3613053613053613,0.1297841882073306,0.10554761904761904,0.24188728311599958,0.17081233384817532,126000
long_entry.onnx,long,2,70,35,251705,126000,0.62,0.3590449954086318,0.13745825276850063,0.121,0.2553182767920535,0.19236796081349794,126000
long_entry.onnx,long,3,105,35,377705,126000,0.6,0.36679069767441863,0.1116838974649483,0.08531746031746032,0.2330297678862707,0.18883100128474634,126000
long_entry.onnx,long,4,140,35,503705,126000,0.6,0.38020634314100116,0.15072712583316503,0.12461904761904762,0.26019674701456147,0.21552397257268185,126000
long_entry.onnx,long,5,175,35,629705,126000,0.6,0.4173663278833407,0.13441969686188002,0.10776190476190477,0.2450444573386946,0.15516508482871738,126000
short_entry.onnx,short,1,35,35,125705,126000,0.62,0.3481911803538421,0.18213210309677064,0.1502777777777778,0.2421274140469275,0.1817561120122833,126000
short_entry.onnx,short,2,70,35,251705,126000,0.64,0.3772983574405492,0.0763506474177705,0.06474603174603175,0.2524247482882098,0.1840693783105094,126000
short_entry.onnx,short,3,105,35,377705,126000,0.6,0.3787869698242246,0.170676325890685,0.1322936507936508,0.23578948466720526,0.18143466400940617,126000
short_entry.onnx,short,4,140,35,503705,126000,0.6,0.3694466537893421,0.14755400254129605,0.1396984126984127,0.2599628090423319,0.1784547616250073,126000
short_entry.onnx,short,5,175,35,629705,126000,0.6,0.34028515091763994,0.12955477276664548,0.10465079365079365,0.24792855289460985,0.22148387348586934,126000
