model,filename,calibration_method,bin_index,prob_min,prob_max,rows,mean_predicted_probability,observed_positive_rate,abs_calibration_error
longExitLifecycleAi,long_exit_lifecycle.onnx,raw,0,0.0,0.1,4095,0.05213449467143783,0.040293040293040296,0.011841454378397537
longExitLifecycleAi,long_exit_lifecycle.onnx,raw,1,0.1,0.2,1979,0.13989335290719632,0.13239009600808488,0.007503256899111438
longExitLifecycleAi,long_exit_lifecycle.onnx,raw,2,0.2,0.30000000000000004,1001,0.2467641642494366,0.27672327672327673,0.029959112473840144
longExitLifecycleAi,long_exit_lifecycle.onnx,raw,3,0.30000000000000004,0.4,530,0.34514199883656826,0.32264150943396225,0.022500489402606016
longExitLifecycleAi,long_exit_lifecycle.onnx,raw,4,0.4,0.5,235,0.4427558291788405,0.5829787234042553,0.14022289422541478
longExitLifecycleAi,long_exit_lifecycle.onnx,raw,5,0.5,0.6000000000000001,56,0.5339284399889073,0.8392857142857143,0.30535727429680704
longExitLifecycleAi,long_exit_lifecycle.onnx,raw,6,0.6000000000000001,0.7000000000000001,4,0.6168556561044256,1.0,0.3831443438955744
longExitLifecycleAi,long_exit_lifecycle.onnx,raw,7,0.7000000000000001,0.8,0,,,
longExitLifecycleAi,long_exit_lifecycle.onnx,raw,8,0.8,0.9,0,,,
longExitLifecycleAi,long_exit_lifecycle.onnx,raw,9,0.9,1.0,2100,0.9956887899117003,1.0,0.004311210088299711
shortExitLifecycleAi,short_exit_lifecycle.onnx,raw,0,0.0,0.1,4182,0.05409582687079918,0.049976087996174076,0.004119738874625106
shortExitLifecycleAi,short_exit_lifecycle.onnx,raw,1,0.1,0.2,1937,0.13846280272708478,0.13267940113577698,0.005783401591307802
shortExitLifecycleAi,short_exit_lifecycle.onnx,raw,2,0.2,0.30000000000000004,791,0.24869802466486332,0.336283185840708,0.08758516117584467
shortExitLifecycleAi,short_exit_lifecycle.onnx,raw,3,0.30000000000000004,0.4,660,0.3451589737218527,0.4696969696969697,0.124537995975117
