model,filename,calibration_method,bin_index,prob_min,prob_max,rows,mean_predicted_probability,observed_positive_rate,abs_calibration_error
longExitLifecycleAi,long_exit_lifecycle.onnx,raw,0,0.0,0.1,35318,0.07168998669733936,0.05235290786567756,0.019337078831661803
longExitLifecycleAi,long_exit_lifecycle.onnx,raw,1,0.1,0.2,27541,0.13700560945245496,0.12283504593152028,0.014170563520934681
longExitLifecycleAi,long_exit_lifecycle.onnx,raw,2,0.2,0.30000000000000004,9210,0.24586963181623553,0.3014115092290988,0.05554187741286329
longExitLifecycleAi,long_exit_lifecycle.onnx,raw,3,0.30000000000000004,0.4,5505,0.34252238901113136,0.4045413260672116,0.06201893705608025
longExitLifecycleAi,long_exit_lifecycle.onnx,raw,4,0.4,0.5,1466,0.44064930064073415,0.5552523874488404,0.11460308680810627
longExitLifecycleAi,long_exit_lifecycle.onnx,raw,5,0.5,0.6000000000000001,630,0.5423439703982259,0.8047619047619048,0.2624179343636789
longExitLifecycleAi,long_exit_lifecycle.onnx,raw,6,0.6000000000000001,0.7000000000000001,9,0.6106373321570617,0.8888888888888888,0.2782515567318271
longExitLifecycleAi,long_exit_lifecycle.onnx,raw,7,0.7000000000000001,0.8,0,,,
longExitLifecycleAi,long_exit_lifecycle.onnx,raw,8,0.8,0.9,0,,,
longExitLifecycleAi,long_exit_lifecycle.onnx,raw,9,0.9,1.0,20321,0.9952861409654183,1.0,0.004713859034581658
shortExitLifecycleAi,short_exit_lifecycle.onnx,raw,0,0.0,0.1,36018,0.0707942088385501,0.043728135932033986,0.027066072906516116
shortExitLifecycleAi,short_exit_lifecycle.onnx,raw,1,0.1,0.2,26013,0.13633278250690292,0.13573982239649407,0.0005929601104088522
shortExitLifecycleAi,short_exit_lifecycle.onnx,raw,2,0.2,0.30000000000000004,9010,0.2481074683378383,0.2946725860155383,0.046565117677699996
shortExitLifecycleAi,short_exit_lifecycle.onnx,raw,3,0.30000000000000004,0.4,7638,0.34533368792835023,0.45928253469494634,0.11394884676659611
shortExitLifecycleAi,short_exit_lifecycle.onnx,raw,4,0.4,0.5,2240,0.43736087209818303,0.6308035714285715,0.19344269933038843
shortExitLifecycleAi,short_exit_lifecycle.onnx,raw,5,0.5,0.6000000000000001,546,0.5298469280722791,0.8406593406593407,0.3108124125870616
shortExitLifecycleAi,short_exit_lifecycle.onnx,raw,6,0.6000000000000001,0.7000000000000001,2,0.6059448346048244,0.5,0.1059448346048244
shortExitLifecycleAi,short_exit_lifecycle.onnx,raw,7,0.7000000000000001,0.8,0,,,
shortExitLifecycleAi,short_exit_lifecycle.onnx,raw,8,0.8,0.9,0,,,
shortExitLifecycleAi,short_exit_lifecycle.onnx,raw,9,0.9,1.0,18533,0.9969098597782904,1.0,0.003090140221709614
longMicroEntryAi,long_micro_entry_5s.onnx,raw,0,0.0,0.1,21852,0.06574037276850493,0.05537250594911221,0.010367866819392724
longMicroEntryAi,long_micro_entry_5s.onnx,raw,1,0.1,0.2,18182,0.13893757007250623,0.12578374216257837,0.013153827909927862
longMicroEntryAi,long_micro_entry_5s.onnx,raw,2,0.2,0.30000000000000004,5695,0.24202348962261191,0.2359964881474978,0.006027001475114119
longMicroEntryAi,long_micro_entry_5s.onnx,raw,3,0.30000000000000004,0.4,1947,0.34141568823723606,0.3533641499743195,0.011948461737083416
longMicroEntryAi,long_micro_entry_5s.onnx,raw,4,0.4,0.5,623,0.43629341344207556,0.46709470304975925,0.03080128960768369
longMicroEntryAi,long_micro_entry_5s.onnx,raw,5,0.5,0.6000000000000001,159,0.5464747264560244,0.6037735849056604,0.057298858449636
longMicroEntryAi,long_micro_entry_5s.onnx,raw,6,0.6000000000000001,0.7000000000000001,176,0.6519899488287825,0.7897727272727273,0.13778277844394482
longMicroEntryAi,long_micro_entry_5s.onnx,raw,7,0.7000000000000001,0.8,363,0.7643138476857568,0.8539944903581267,0.08968064267236986
longMicroEntryAi,long_micro_entry_5s.onnx,raw,8,0.8,0.9,853,0.8468129262503121,0.8675263774912075,0.02071345124089541
